date,area,trap,mosquito_name,number_of_mosquitoes
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes camptorhynchus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes notoscriptus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes notoscriptus,1
2024-11-19,Bassendean,BAS1BAS1,Aedes notoscriptus,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Anopheles annulipes,1
2024-11-19,Bassendean,BAS1BAS1,Culex annulirostris,1
2024-11-19,Bassendean,BAS1BAS1,Culex annulirostris,1
2024-11-19,Bassendean,BAS1BAS1,Culex annulirostris,1
2024-11-19,Bassendean,BAS1BAS1,Culex annulirostris,1
2024-11-19,Bassendean,BAS1BAS1,Culex annulirostris,1
2024-11-19,Bassendean,BAS1BAS1,Culex globocoxitus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex quinquefasciatus,1
2024-11-19,Bassendean,BAS1BAS1,Culex sitiens,1
2024-12-06,Cannington,CAN1ABL1,Aedes camptorhynchus,1
2024-12-06,Cannington,CAN1ABL1,Aedes camptorhynchus,1
2024-12-06,Cannington,CAN1ABL1,Aedes camptorhynchus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
2024-12-06,Cannington,CAN1ABL1,Aedes notoscriptus,1
